@relation data_training-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute age {0,1,2,3,4,5,6,7,8,9,10}
@attribute aadt numeric
@attribute trucks numeric
@attribute elevation numeric
@attribute precip numeric
@attribute min_temp numeric
@attribute max_temp numeric
@attribute wet_days numeric
@attribute freeze_thaw numeric
@attribute rut_depth numeric
@attribute number_of_lanes {1,2,3}
@attribute sys_id {1,2,3}
@attribute f_class {1,2,3,4,5,6,7}
@attribute category {1,2,3,4,5}
@attribute psi numeric

@data
5,1150,280,3750,5.36,44,76,29,77,0,1,2,3,2,4.37
2,3950,1600,4250,6,36,67,41,154,0.08,2,1,1,1,4.31
4,275,55,5750,10.6,30,62,63,189,0,1,2,3,3,4.42
4,525,85,5250,6.88,37,68,37,143,0,1,3,4,4,3.52
0,110,25,4750,6.28,39,71,34,129,0,1,3,4,5,4.21
1,500,180,4250,5.8,41,73,31,100,0.021,1,2,3,3,4.49
4,45,2,5750,10.6,30,62,63,189,0.116,1,3,6,5,2.88
0,1050,46,3750,5.55,38,69,38,119,0,1,3,6,3,3.99
1,80,3,5250,6.88,37,68,37,143,0.22,1,3,6,5,2.51
5,330,65,5750,10.6,30,62,63,189,0.028,1,2,3,3,4.13
4,2525,470,4250,6,36,67,41,154,0,1,3,4,3,4.21
4,3825,1460,4250,6,36,67,41,154,0.05,2,1,1,1,4.18
5,3950,1800,3750,5.55,38,69,38,119,0,2,1,1,1,4.23
3,12000,3476,2250,3.07,52,83,18,43,0.106,2,1,1,1,3.32
0,100,5,4750,6.28,39,71,34,129,0,1,3,5,5,2.84
2,5500,792,4250,6,36,67,41,154,0.061,1,2,3,2,3.78
2,650,100,5750,10.6,30,62,63,189,0.02,1,2,3,3,4.41
1,3700,2005,4250,6,36,67,41,154,0,2,1,1,1,4.37
2,1050,500,5750,10.6,30,62,63,189,0.087,1,2,3,2,4.41
8,240,72,5750,7.71,34,66,40,156,0.026,1,3,4,4,3.23
2,9000,2375,2250,3.07,52,83,18,43,0.084,2,1,1,1,3.97
0,6750,1140,4750,6.65,36,67,41,154,0.06,2,3,4,3,4.22
3,8750,3500,1750,3.07,52,83,18,43,0.18,2,1,1,1,4.05
9,215,47,6250,8.75,32,63,42,166,0.029,1,3,4,5,3.31
2,110,25,5750,7.71,34,66,40,156,0.106,1,3,4,5,3.36
1,3300,1450,4750,6.25,32,65,50,230,0.18,2,1,1,1,4.34
5,3200,1413,5250,7.95,31,63,56,216,0.058,2,1,1,1,3.7
3,23000,3413,2750,5.17,50,80,22,69,0.043,3,1,1,1,3.93
0,3300,1400,4250,6,36,67,41,154,0.042,2,1,1,1,4.29
6,31500,1585,1750,3.07,52,83,18,43,0.076,3,3,4,2,3.12
5,360,55,5750,10.6,30,62,63,189,0.057,1,2,3,3,4.06
3,1100,350,3750,5.36,44,76,29,77,0.05,1,2,3,2,4.35
7,150,15,5750,7.71,34,66,40,156,0.042,1,3,4,5,3.57
1,1125,220,3750,5.36,44,76,29,77,0.02,1,2,3,2,4.48
0,3650,1460,5250,7.95,31,63,56,216,0.06,2,1,1,1,4.42
0,4025,1550,3750,5.55,38,69,38,119,0.1,2,1,1,1,4.41
5,150,12,4250,6,36,67,41,154,0,1,3,5,5,3.47
0,3705,1450,4250,6.65,36,67,41,154,0.02,2,1,1,1,4.4
2,4350,330,4750,6.65,36,67,41,154,0.07,2,2,3,2,4.17
9,215,47,5750,7.71,34,66,40,156,0.025,1,3,4,5,3.41
0,3900,1283,3750,5.55,38,69,38,119,0.07,2,1,1,1,4.43
6,250,45,6250,8.75,32,63,42,166,0.034,1,3,4,4,3.59
5,1050,360,5750,10.6,30,62,63,189,0.047,1,2,3,2,4.07
7,275,235,4750,6.65,36,67,41,154,0.026,1,3,5,2,3.23
3,4750,1280,3250,7.58,41,70,36,108,0.06,2,2,3,2,4.17
5,1875,125,4750,6.65,36,67,41,154,0,1,3,5,2,3.29
2,3350,1435,5250,7.95,31,63,56,216,0.06,2,1,1,1,4.17
0,900,125,3750,5.55,38,69,38,119,0,1,2,3,3,4.09
2,415,83,4250,6,36,67,41,154,0,1,2,3,3,4.33
2,470,79,5750,7.71,34,66,40,156,0.04,1,3,4,4,3.63
7,1200,271,4250,5.8,41,73,31,100,0.04,1,2,3,2,3.85
4,220,85,6250,14.05,31,59,67,165,0,1,3,4,4,3.7
1,9500,2500,2250,3.07,52,83,18,43,0.02,2,1,1,1,4.4
9,200,17,4250,6,36,67,41,154,0.036,1,3,5,5,3.26
6,400,115,6750,18.25,32,57,73,145,0.036,1,2,3,3,4.09
2,3300,1160,2750,5.17,50,80,22,69,0.04,1,2,3,2,3.63
1,14520,1887,5250,10.35,32,63,50,183,0.54,2,1,1,1,3.43
0,60,15,5750,10.6,30,62,63,189,0,1,3,5,5,3.38
2,15500,3131,4750,6.65,36,67,41,154,0.16,2,2,3,2,3.64
0,900,125,3750,5.55,38,69,38,119,0,1,2,3,3,3.88
0,3873,440,3250,7.58,45,75,29,96,0.12,1,2,3,2,3.78
4,265,75,6250,14.05,31,59,67,165,0.025,1,3,4,4,4.24
0,245,165,4250,5.17,34,67,46,217,0,1,3,4,4,4.06
1,165,20,6250,14.05,31,59,67,165,0.41,1,3,5,5,2.07
3,1100,350,3750,5.36,44,76,29,77,0.05,1,2,3,2,4.38
